id,tourName,location,price,rating,ratingCount,link,description
1,Private Arrival Transfer: Bali Airport to Hotel,Seminyak,119838,4.7,1399,https://www.booking.com/attractions/id/prqzupph0mmy-private-arrival-transfer-bali-airport-to-hotel.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Begin your Bali Vacation with the right start, with a comfortable and convenience private arrival transfer service from Ngurah Rai International Airport to your hotel or private residence."
2,Uluwatu Kecak Tickets A Spectacular Show,Jimbaran,289239,3.9,89,https://www.booking.com/attractions/id/prbuf0zzfd2f-uluwatu-kecak-tickets-a-spectacular-show.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Immerse yourself in Bali's rich cultural heritage with the mesmerizing Uluwatu Kecak Dance. Set against the breathtaking backdrop of Uluwatu Temple at sunset, this unique performance"
3,Kecak and Fire Dance Ticket at Uluwatu Temple,Jimbaran,226720,3.8,156,https://www.booking.com/attractions/id/przhg1la6f0z-skip-the-line-kecak-and-fire-dance-ticket-at-uluwatu-temple.en-gb.html?source=searchresults-product-card&ufi=-2683839,"If you’re going on a trip to Bali, then visiting the Uluwatu Temple is a must and one of its highlights is the Kecak fire and dance show that takes place at night. Book us in advance and get to watch this highly-touted show! Get to see the locals put on an enchanting show with traditional and hypnotic Kecak dances with swirling flames and vibrant cultural outfits, all while enjoying the sublime sunset; the show is perfectly timed just in time for it. This will surely make for a more memorable trip to the island."
4,Private Departure Transfer: Hotel to Bali Airport,Ubud,121457,4.8,413,https://www.booking.com/attractions/id/przrxfdmalct-private-departure-transfer-hotel-to-bali-airport.en-gb.html?source=searchresults-product-card&ufi=-2683839,Our transfer transfer to airport provide you a private vehicle and driver with english speaking driver.
5,Ubud Explorer Private Day Tour,Ubud,842105,4.9,445,https://www.booking.com/attractions/id/prlacetrgqo0-ubud-explorer-private-day-tour.en-gb.html?source=searchresults-product-card&ufi=-2683839,"There are many tours on the Island of Bali, but there are a rare few that will allow you to explore the island with a local who is well versed in the heritage and culture as well as the significance and local perspective of all of these amazing sights. Our experts will introduce you to a side of this island and its culture that very few individuals get to experience, there are tours for tourists and tours for real travelers... This tour is for travelers that want to truly get to know the island. Solo travelers will be subject to an additional charge of 300k IDR to cover operational costs."
6,Uluwatu Temple Entry and Kecak Fire Dance Ticket,Jimbaran,459682,4.2,15,https://www.booking.com/attractions/id/prjguo0cagkc-uluwatu-temple-entry-and-kecak-fire-dance-ticket.en-gb.html?source=searchresults-product-card&ufi=-2683839,"We make it easy for visitors to get entry tickets to the area, so you don't have to queue for a long line, time just to get an entry dance ticket. Meet the local tour guide at meeting point & explore the temple include the story behind, learn deep the cultural tradition, taking good photo views from the expert, protect from naughty monkeys and direct you to the stadium & skip the line. Visiting Uluwatu Temple offers a seamless entry experience, letting you skip the lines and dive straight into the rich history of this 11th-century BC Balinese Hindu temple. Enjoy a captivating Kecak and fire dance show, where 75 performers bring to life the enchanting tale of Rama and Sinta, enhanced by their vocal chants and intricate costumes. With breathtaking views of the Indian Ocean at sunset, this experience highlights the cultural essence of Bali without the hassle of long queues or worrying about mischievous monkeys."
7,"Nusa Penida day trip: boat, 4 snorkeling, Manta rays & Land tour",Kuta,1554655,4.8,235,https://www.booking.com/attractions/id/prlre6wdgsc7-full-day-tour-to-nusa-penida-and-snorkeling-with-manta-rays.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Explore the island of Nusa Penida on a full-day trip from Sanur with our private fast boat (not a ferry). Discover the best spots of Nusa Penida. Your adventure starts in the water, exploring the colorful coral reefs and marine life. In the morning, enjoy 2 snorkeling sessions: Mangrove Point and SD Point. Then, continue your journey on land with a bumpy drive to the iconic Kelingking Cliff viewpoint. Take in the breathtaking scenery and capture amazing photos with help from our guides. Relax with lunch at a scenic restaurant featuring a great view and an infinity pool. After lunch, return to the sea for 2 more snorkeling stops: Wall Bay and Manta Point/Manta Bay, depending on water conditions. Don’t miss the chance to swim with giant manta rays! Please note: manta ray sightings are not guaranteed. This is a shared tour with up to 13 participants. Want something more exclusive ? Upgrade to a private full-day tour. Note : Itinerary may change based on sea and weather conditions."
8,Bali Quad Bike with Waterfall and Gorilla Cave,Seminyak,1221655,4.6,267,https://www.booking.com/attractions/id/prgvvyjc2ixo-bali-quad-bike-with-waterfall-and-gorilla-cave.en-gb.html?source=searchresults-product-card&ufi=-2683839,"This experience will take you on a two-hour all-terrain vehicle (ATV) exploration of Bali. After a safety briefing, you’ll climb aboard your single or tandem quad bike and follow your guide along various terrains through scenic forests, rice field and river. You’ll also pass by a waterfall as you follow the route to the remarkable Gorilla Cave. After your adventure, you’ll have the chance to wash the mud away with a shower before sitting down for a prepared lunch."
9,Atlas Beach Club Admission,Kuta,100627,4.4,67,https://www.booking.com/attractions/id/pr3iyunj9j8r-atlas-beach-club-admission.en-gb.html?source=searchresults-product-card&ufi=-2683839,"With this general admission to Atlas Beach Club, you'll be able to explore one of the biggest beach clubs in the world. The resort is also home to an infinity pool and a communal area serving local food and drinks. You'll also have the opportunity to book a spot at the W Atlas Superclub, featuring top DJs, state-of-the-art lighting and audio, and three levels."
10,Ubud Monkey Forest Silver Class - Craft Your Own Silver Jewelry,Ubud,465160,4.8,66,https://www.booking.com/attractions/id/prwpfojpc6v2-silver-jewelry-making-class-near-ubud-monkey-forest.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Enjoy the thrill of creating your own silver jewelry from scratch in collaboration with experienced silversmiths. You will go through several stages, starting with design selection, introduction to materials and tools, melting silver grains, forming wire or plate, shaping the jewelry, soldering, sanding, and polishing. Each step will be guided by skilled silversmiths, making it easy for tourists with no prior experience in silver jewelry making to create their own pieces. This unique and memorable experience will undoubtedly be a highlight of your holiday in Ubud."
11,All-Inclusive Ubud Private Tour,Ubud,2510120,5.0,1975,https://www.booking.com/attractions/id/prlxoj2qqthz-guided-sightseeing-tour.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Experience UBUD with a specious convenient Air-conditioning Van & Professional Private Driver / Guide / Fotographer. MONKEY FOREST - get up close to the nature to observe approximately 1059 Bali Long Tail Macaques among the forest. Feel safe with our experience guide accompanied. UBUD COUNTRYSIDE - See real Bali way of life, rice farm cultivation and to understand the concept of Bali Hindu family and Community system. RICE TERRACE - Amazing SUBAK irrigation system of Bali. UBUD SWING - Certified safe unique ubud swing experience D’Alas - Relaxing View of Ubud greenery with absolutely tasty local cuisine & its Jungle Swing experience TIRTA EMPUL - Natural springs purification process. BALI HOUSE COMPOUND - To understand how Balinese live multiple generations in one compound and its history for each purpose of the building TEGENUNGAN WATERFALLS"
12,Waterbom Bali Tickets - Single Day Pass,Kuta,630530,4.6,25,https://www.booking.com/attractions/id/prnhspz5z8ty-waterbom-bali-tickets-single-day-pass.en-gb.html?source=searchresults-product-card&ufi=-2683839,"- Exhilarating Variety: Our ticket grants you access to a world-renowned waterpark featuring 26 thrilling slides designed to international safety standards. Whether you're a daredevil seeking adrenaline or a family looking for fun, Waterbom Bali offers an array of experiences catering to all ages and preferences. - Lush Oasis Escape: Step into a meticulously landscaped sanctuary spanning over 5 hectares, boasting not only exhilarating rides but also serene gardens and water systems reflecting the essence of Bali's natural beauty. Unwind on the Lazy River or explore the Kiddy Area, all within this boutique waterpark designed for relaxation and rejuvenation. - Sustainable Excellence: By choosing our pass, you support a venue dedicated to environmental responsibility and social impact. Our park has been recognized for its commitment to sustainability, minimizing its ecological footprint while fostering an environmentally conscious culture among staff and guests."
13,"Uluwatu Sunset, Kecak Dance, and Dinner Jimbaran Beach",Ubud,977324,4.5,396,https://www.booking.com/attractions/id/pr2ghrl3veiw-uluwatu-sunset-kecak-dance-and-dinner-jimbaran-beach.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Uluwatu Sunset Tour is favorite half day tour, where you will be taken to visit beautiful temple which stands on the top of cliff with stunning view of Indian Ocean. Uluwatu temple offers amazing panoramic view of cliff and sunset as its backdrop. It is a great tour program, discovering the historical and beautiful site of Uluwatu Temple which built in the megalithic era. It is very old temple kept by the group of monkeys who living in the dry forest close to the temple area. We offer 3 options for the tour, please choose the one that suits your needs. Option 1: All Inclusive Tour This tour includes entrance ticket of the temple, Kecak and Fire Dance ticket, and Balinese dinner (Seafood) in Jimbaran Beach Option 2: Not Include Dinner This tour includes entrance ticket of the temple, Kecak and Fire Dance ticket. Dinner is at own expenses Option 3: Basic Tour (Non-Inclusive) This tour includes private tour and guide. NOT include entrance fee, Kecak Dance ticket, and dinner."
14,Canna Bali Beach Club Admission,Kuta,142396,4.6,26,https://www.booking.com/attractions/id/prsnvonuommu-canna-bali-beach-club-admission.en-gb.html?source=searchresults-product-card&ufi=-2683839,"This ticket provides you with admission to the Canna Bali beach club for one day. During your visit to one of Bali's most prestigious beach clubs, you'll have the opportunity to swim and enjoy picturesque views from the infinity pool, as well as relax on the golden sands of Nusa Dua Beach. The ticket also includes add-on features, offering you the chance to rent luxurious day beds or a romantic tent."
15,"Ubud: Waterfalls, Water Temple & Rice Terraces Private Tour",Ubud,407218,4.8,29,https://www.booking.com/attractions/id/pre7oi31x4cd-bali-private-customized-full-day-tour.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Discover the natural beauty and cultural highlights of Ubud on this private full-day tour. Perfect for nature lovers and culture enthusiasts, this tour takes you to Ubud’s most iconic sites, including breathtaking rice terraces, sacred temples, and hidden waterfalls. Enjoy the flexibility of a private guide and vehicle, allowing you to explore at your own pace."
16,"Mount Batur 4WD Jeep, Breakfast and Hot Spring All Inclusive",Ubud,851826,4.7,55,https://www.booking.com/attractions/id/prfrx4mda8gu-mount-batur-4wd-jeep-tour-sunrise-and-hot-spring-all-inclusive.en-gb.html?source=searchresults-product-card&ufi=-2683839,The Mount Batur sunrise experience via jeep is breathtaking! You'll witness the sunrise over the volcano and its stunning surroundings in a unique and adventurous way.
17,Legong Dance Show at Ubud Palace Bali,Ubud,155741,3.9,42,https://www.booking.com/attractions/id/pr7uneuopv3a-legong-dance-show-at-ubud-palace-bali-indonesia.en-gb.html?source=searchresults-product-card&ufi=-2683839,"The Legong Dance is one of Bali's most captivating royal court performances. It is regarded as one of the island’s most cherished classical dances, celebrated for its intricate and fast-paced movements that demand exceptional flexibility from its typically young female dancers. With a carefully choreographed routine down to the finest details, the dance has been meticulously preserved across generations."
18,Bali Private Car Hire with Driver,Ubud,802682,4.7,335,https://www.booking.com/attractions/id/prvyz6x6lqiy-bali-private-car-hire-with-driver.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Discover the island of Bali from the comfort of a private vehicle while you're chauffeured by a personal experienced driver with service from the heart. Explore the island with family and friends while your driver assists you with customising your own 10-hour itinerary. On this private car charter you could explore the most popular destinations such as: Ubud Sacred Monkey Forest, Tegalalang Rice Terraces, Tegenungan Waterfall, Bali Swing, Jungle Swing, Tirta Empul Temple and other top attractions in Ubud - Bali. Pickup and drop-off is included from Bali airport and most of Bali hotels area, and any fuel charges are taken care of. Plan your itinerary, things to do in Bali, type of the vehicles, then choose the two option of timings available. Lets explore the beautiful of Bali island with the best Bali Car Driver Hire Service, Bali Transport Service, Bali Car Rental with Driver, and Best Day Trip in Bali."
19,White Water-rafting Trip with Lunch,Ubud,655251,4.7,151,https://www.booking.com/attractions/id/pruz6iseucjc-white-water-rafting-trip-with-lunch.en-gb.html?source=searchresults-product-card&ufi=-2683839,"During this two-hour adventure, you’ll navigate the churning white waters of the Ayung River – Bali’s longest river – on a rafting expedition. You’ll have a skilled guide to accompany you, and you can take in picturesque views of the lush Indonesian forest scenery and a cascading waterfall along the way. Your trip will include a delicious buffet lunch of cuisine typical to the region."
20,Jungle ATV Quad Bike Through Gorilla Face Cave,Ubud,835445,4.7,25,https://www.booking.com/attractions/id/prruiqwoldlt-jungle-atv-quad-bike-through-gorilla-face-cave.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Get amazed, experience the greatest Jungle ATV Ride or Quad Biking track in Ubud. Located in a rural stunning county side, ride through jungle, rice field, river, waterfall, muddy, up and down hill, valley, tunnel with gorilla face, take photo selfie in a beautiful panorama with emerald green nature will be an unforgettable moment during your holiday in Bali."
21,Experts Bali Driver : Best Bali Private Driver for Tour in Bali,Seminyak,1048401,5.0,553,https://www.booking.com/attractions/id/przjss5hflpo-experts-bali-private-driver-best-bali-driver-for-your-holiday-in-ba.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Explore Bali with a professional private tour driver, enjoy flexible itineraries, multiple departure options, and an English-speaking driver, all in a comfortable Toyota Avanza, Innova, APV, or similar vehicle with no hidden fees. Let our friendly team make your journey seamless and unforgettable! Note: Our car rental prices are based on the number of passengers. We accommodate luggage as long as space allows. If there are more passengers and luggage doesn’t fit, we recommend increasing the passenger count, as we will provide a larger vehicle accordingly."
22,Scuba Diving in Nusa Penida - Manta Point,Kuta,2866721,4.9,29,https://www.booking.com/attractions/id/pryzxldnimcf-scuba-diving-in-nusa-penida-manta-point.en-gb.html?source=searchresults-product-card&ufi=-2683839,"The highlight of scuba diving in Bali, and the place to go for Beginner and Advanced scuba divers for diving with the majestic Manta Rays or spotting the Mola Mola during the Mola season. Generally a total number three dives are recommended in Nusa Penida. Groups are set for maximum 3 certified divers of equal experience to 1 dive guide."
23,All Inclusive Mount Batur Sunrise Hike With Hotspring,Ubud,81906,5.0,1,https://www.booking.com/attractions/id/prhuxlfpo3av-all-inclusive-mount-batur-sunrise-hike-with-hotspring.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Embark on a thrilling hike to the summit of Mount Batur, an active volcano that offers one of Bali’s most rewarding trekking experiences. The journey begins in the early hours, with a guided trek starting before dawn to ensure you reach the summit in time for the spectacular sunrise. As you climb, the cool mountain air and the quiet of the surrounding forest set the stage for an unforgettable adventure."
24,ATV Quad Bike Through Tunnel and Waterfall in Bali,Ubud,868207,4.8,306,https://www.booking.com/attractions/id/pru5eumyttls-atv-quad-bike-through-tunnel-and-waterfall-in-bali.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Experience the greatest Jungle ATV Ride or Quad Biking track in Ubud. Located in a rural stunning county side, far away from the hustle and bustle of the city, designed to capture the spirit of a traditional Balinese village, a combination of local elegance and gracious hospitality for memorable experience. Interact with the local, take photo selfie in a beautiful panorama with emerald green nature will be an unforgettable moment during your holiday in Bali. Atv Track Route; Stunning Balinese village, rice fields, jungle, river, canyon, longest natural tunnel, highest natural waterfall, fun up down trail to up hill, wet track fun attraction. Boots, helmet and all safety equipment are provided, insurance covered Locker, towel, changing room, shower facilities are provided We offer some options to choose, Solo ride with private transfer Solo ride without transfer (ticket only) Tandem ride with private transfer Tandem ride without transfer (ticket only)"
25,Best of Ubud 1-Day Private Tour,Ubud,1351269,4.9,495,https://www.booking.com/attractions/id/prd4k1qjmzga-best-of-ubud-1-day-private-tour.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Head out on a day tour to explore the best sights of Ubud! Maximize your day in paradise on a 9-hour full-day guided tour including a private vehicle, an English-speaking tour guide (also serve as a driver), and hotel pickup/drop-off. Plus, entry/admission fees are included. Tick off all of Ubud's must-see sights including Art Villages, choose from the art that suits your interests including the village of good/silver, wood-carving, and painting. Batuan Temple, a traditional Hindu temple built in the classical Balinese temple style with elaborate carvings. Tegenungan Waterfall, admire the foaming water and lush green surroundings. Tegalalang Rice Terrace, a favorite stop for nature lovers featured terraced rice paddies. Sacred Ubud Monkey Forest Sanctuary, a protected reserve, and a temple complex shelter hundreds of long-tailed Balinese macaques (monkeys). Afterward, spend 1-hour of Free Time at Ubud Center (self-visit) to see Ubud Palace, Traditional Market, and Saraswati Temple."
26,From Nusa Lembongan Manta Snorkeling Trips with Pickup Included,Nusa Lembongan,397120,4.9,12,https://www.booking.com/attractions/id/prbvwawnnrzq-from-nusa-lembongan-manta-snorkeling-trips-with-pickup-included.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Come to join the adventure for discover the beautiful marine life of Lembongan and he’s Famous mangrove forest. We provide you the best program for the day Snorkeling the boat around beautiful 3 island. For the Snorkeling we always select the most appropriate site for the day ( depending on the current, swell and tide condition ). Our priority number one is to keep you/ our customer safe and will only head to the sites that can ensure a wonderful experience and enjoyable activity for all the family. Snorkeling is included as part of each Lembongan day cruises and we have full time snorkeling guide who will be in the water with your equipment. We also provide life jackets and flotation devices for those that are not so comfortable in the water."
27,Bali Parasailing - Banana Boat - Jet Ski,Tanjung Benoa,301743,4.1,16,https://www.booking.com/attractions/id/prr9cpcfnnxv-parasailing-banana-boat-or-jet-skiing-adventure.en-gb.html?source=searchresults-product-card&ufi=-2683839,"This is the best water sports activities that you could do and experience in Bali. You could choose only Parasailing or Banana Boat ride or Jet Skiing or you could do all of those only in one day. All safety equipment, instructor, insurance are included."
28,Bali: Gorilla Face ATV Bali Ubud Adventure with Lunch,Ubud,900970,4.9,18,https://www.booking.com/attractions/id/pr6jizkt7ldy-ubud-jungle-and-tunnel-atv-adventure.en-gb.html?source=searchresults-product-card&ufi=-2683839,"Let's yourself wild in the jungle by trying this quad bike riding. Pass the rice field, local village, bamboo forest and hidden jungle for your memorable holiday. This muddy activities will enable you to cross the obstacles and avoid challenges along the wet area."
29,Half-day Electric Bike Tour of Ubud,Ubud,704394,4.8,16,https://www.booking.com/attractions/id/prmnorngkrxv-half-day-electric-bike-tour-of-ubud.en-gb.html?source=searchresults-product-card&ufi=-2683839,"On this half-day tour, you'll join a local guide and set off on an electric bike to explore Ubud's local villages, rice terraces and ancient temples. You'll also get to visit a coffee plantation featuring zip lines and a giant swing. The electric bike's motor will give you the freedom to pedal as much or as little as you like, giving you the chance to relax and enjoy the sights. Your tour will end with a traditional Balinese lunch."
30,Full-Day Tour to Water Temples and UNESCO Rice Terraces in Bali,Ubud,1146689,4.9,284,https://www.booking.com/attractions/id/prakzlds6xjn-bali-full-day-water-temples-and-unesco-rice-terraces-tour.en-gb.html?source=searchresults-product-card&ufi=-2683839,Join the trip to most natural place in Bali. You will stop to some places around Bedugul in western part of Bali island. Visiting some water temples and mountain temple of Batukaru to experience the most beautiful temples in Bali. You will also stop at the widest rice terraces in Bali called Jatiluwih which has been acknowledged as the world cultural heritage by UNESCO.
31,Batur Natural Hot Spring Experience,Bangli,122963,4.5,74,https://www.booking.com/attractions/id/prrtrdyzetdg-batur-natural-hot-spring-experience.en-gb.html?source=searchresults-product-card&ufi=-2683839,"This ticket will allow you to visit Batur Natural Hot Spring. Here, you’ll have an opportunity to take a relaxing dip in natural hot spring pools believed to have healing properties. During your stay at the attraction, you can enjoy warm soaks in ten pools while admiring the views of Mount Batur, Lake Batur and the region’s lush forest greenery."
32,Blue Lagoon Snorkeling Tour,Ubud,1130307,4.3,184,https://www.booking.com/attractions/id/pr0amstlvyrk-blue-lagoon-snorkeling-tour.en-gb.html?source=searchresults-product-card&ufi=-2683839,"On this underwater world adventure, you’ll have the opportunity to snorkel at two fantastic spots in Bali. You’ll begin the day by being picked up at your hotel and transported to Blue Lagoon. You'll visit a snorkelling spot in Tanjung Jepun beach and blue lagoon beach, where you’ll be able to dive for two hours in each spot and swim among colourful fish and other marine wildlife. During this tour, you’ll also have the chance to experience Indonesian gastronomy and try a traditional dish before getting back to your hotel."
33,Bali Safari Park,Kuta,651762,4.5,243,https://www.booking.com/attractions/id/pr6khn3ii8ne-bali-safari-park.en-gb.html?source=searchresults-product-card&ufi=-2683839,"With a ticket to Bali Safari Park, you'll experience a wildlife adventure, getting up close to a wide variety of animals, including endangered species. Depending on the option you select, you could go on a night safari, watch a cultural show, see piranhas being fed in the freshwater aquarium or be treated to a meal. The safari journey will take place in a specially designed vehicle that offers the chance to hand-feed some of the animals at close range."
