id,hotelName,location,price,link,description,rating,reviews,star
1,Pramana Nusa Ceningan,"Nusa Ceningan, Nusa Lembongan (Nusa Ceningan)",1488375,https://www.booking.com/hotel/id/pramana-nusa-ceningan.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGiIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsPk9cQGwAIB0gIkZjAzODQyMmMtYTE1Zi00MDJiLTk4YTQtZGMyYjkyNmRjZmE32AIB4AIB&sid=ac81507b73df4bb67ba0d6a194114c67&aid=304142&ucfs=1&arphpl=1&checkin=2025-08-30&checkout=2025-08-31&dest_id=835&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D213&srpvid=ab302af6159c052e&srepoch=1755151802&all_sr_blocks=1454092901_416740331_0_41_0&highlighted_blocks=1454092901_416740331_0_41_0&matching_block_id=1454092901_416740331_0_41_0&sr_pri_blocks=1454092901_416740331_0_41_0__148837500&from=searchresults,"Beachfront Location: Pramana Nusa Ceningan in Lembongan offers direct beachfront access with stunning sea views. Guests can relax by the infinity swimming pool or explore the lush garden. Comfortable Accommodations: Rooms feature air-conditioning, balconies, and private bathrooms with free WiFi. Additional amenities include bathrobes, streaming services, and parquet floors. Dining Experience: The hotel serves a variety of cuisines, including Chinese, Indonesian, and Italian. Dining options include brunch, lunch, dinner, and cocktails. Breakfast is available in-room with local specialities and fresh pastries. Nearby Attractions: Yellow Bridge is 2.3 km away, Panorama Point 4.9 km, and Ngurah Rai International Airport 75 km from the property. Scuba diving opportunities enhance the surrounding area.",10.0,5.0,4.0
2,Damara Village Ubud by Alaya Private Estate,"Kedewatan, Ubud",3494340,https://www.booking.com/hotel/id/damara-village-ubud-alaya-collection-kabupaten-gianyar2.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGiIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsPk9cQGwAIB0gIkZjAzODQyMmMtYTE1Zi00MDJiLTk4YTQtZGMyYjkyNmRjZmE32AIB4AIB&sid=ac81507b73df4bb67ba0d6a194114c67&aid=304142&ucfs=1&arphpl=1&checkin=2025-08-30&checkout=2025-08-31&dest_id=835&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D213&srpvid=ab302af6159c052e&srepoch=1755151802&all_sr_blocks=1044492002_402856794_0_0_0_458269&highlighted_blocks=1044492002_402856794_0_0_0_458269&matching_block_id=1044492002_402856794_0_0_0_458269&sr_pri_blocks=1044492002_402856794_0_0_0_458269_349434000&nad_id=b4a19ba0-a97b-4b7c-bf2e-a3b54f4d9666_0&nad_cpc=0.5&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NTUxNTE1OTY4NDQsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiZlVCc0lVbzQrSWFnMW1LdENKS1lyUXNZaFE1SXh4TWRMeEdvbjFoUVZyRGFkZFFqcWhEMGkyQjA4WWc2MTlBWnppN3JKaGloV0FWNlFnRzZKNDlzMXpZY2JpSnVDZkxtNEZQQmYwdk9ISGFxT2ZMNWhMZjUzblpkTkJLSTZkR0Qwd1BwYjJIZFdRSy9HaTBVaVQ4blk3c0FNRmZRTDQzbG5KMkpGNFd5c0xzZ1VjWjVIUkFGSWkwZC9kU21pL1pEWU9UaDRTM3kzNnpTcVVlbitGbDZaREM0VVh1Y0hZWkhxOFROYkNxZk9LaDNwR2Y1ZmYzK0E0Y2ZvUkNKWisrYzJwZldzVlQwWGtaTjlCNTN3OVR2eWVYN05YSVBPZVcxN08xUVIrWVp2YnlYS3ZOemp5RCs2NUpmVFRVcVJSOHZkdXpZT3ByeW1FSDhmZHhEZzZtVmdRZFpXZnlGQ2xZQ21ZLzNPYUo1SWh5K3QwTmswV0xCdmdLSm5FTEdiOURBTVI4NEpYTDM0ajZIb3dHTGcwNDZHV1dmemZuQnN1MlRHZ25IVDVYaDlCYm1PTE9jOFJnTmxHTkN4WWsxSmdhbEQzYWU3Zk1PcitkOGQ4Z1gyOFR4M3NzRGQ0d01zRnpYaEtFdUNLNEZ0WDBlc2dyYUxKdHFIazhUYVo5WVFEbXFCcHA0TTJvS0t4OFF0RGswWm5iU0Vqb085NFZSaG1wVG9RMW5iMUlleVJFTncrb2hibHlMT2hqSDZ2bWNTWmVTazFjMkgzWk9LSjJweUZua2tjLy9VYzhjaExaN09FbVFuV0l4U3NaalErRWdCdERSbjUzWjU0TGtoWVRrMHRISGNVVVhzUkE2elpHeEFGZkN5b1JISy92TDB6KzFPZlNGTE1sNjVDdHM4a1BDZnVlYW9pdzB5aHljcWh5bWdqSWxzcXpzZU1JSy9GN1BSWUhteUpRVWQyU2s1S3d4TEl4V2xjVkhud3dMbHVuVEhTNk5Sd3RZZ1RvS3M0VkY0UUhyZnMzeGU4eTI3ZFNPanE1KzZJWExRWVRvbGROM3NiS3piRlp5TFFpQ1hlY0E3SlYyajZIekVSVlNtNDRPN3o3b0JlMWZFcmowVWlLV2RjbHIwOEltNWxENkdjL0MvTFhaTmk1UkM4MDI3VEJGK0Z6R0pWRGxCRkxDajNKTDFsVG1xZkZIUGhXa0tMdFRHNnRPbWptd0xBR1J1aXd0d0ZpQnZ3SkFBTjlQNi9zYms4dVVtTGY5QjdEUmg2WWozL25OcHlnYkorNENoeWtxeXNyOGJud2s4bFFNQUVGVVZpSEN0S1hiOWRqRW1zdU1WN2x1ZVdQWlJQamtla3c5YW0xcDZFNldYUHRwOXU1ZW4rKyswNTdxVWVoYi9TS1ZHcWttOCtaTXVlNDEwemVyNUlzSURlcEJSdDl6dUVhWUk1cTJ4NnUxOHBuQzU5bkNETUg3bVVCK0dHSFdTYU9lUmtuK3dldXpKQ055TDF1TWU4SFYxSllmZjR2TGtOZkpRSWdGR0FVRjAyS0oxNDJidkZUdFVOaEM3R1FwMWVNM1RYSmt3UlF2em8wTWFjS0hOVnpXalZUZzlRNVFPcUd1Z0t4bmlGT1pYUitRNUt3Z3ZQdjNHQmpad1M1SG1RQ0dudkhJNkNQMEdqeVpQZlZJWiszeVhmK1hzaEhXa1NuczRRT011Mm1iR3QzRjZrbkk1bCtiZGg5aHZRWFdmcXBqb3gvc3FCZ3dBbmFkOWg4dzJKbTR4cVJiYjNBKytaYWdYZFJad3VONTkxMlFkSWZjb3ZzNU9OMUh5eWpsa00rTUNLWTkrRm41RGJtZDhaVFZESHJ3OHZIZ1JqZXJWOWtLamlJTXFMZ1kva0JoaEROQXY3d3A2bWEwSTBxZlFlcG5FRHRpUS9uR092aHNtK0htRUxVWFFMSTA4dXk4T3BRRHFmRFVGMndueXFPTjJZNU9XOGNLV1Fpa0o0a2ZNbTVCRkVlcys4Q0ZPdGlEY1BhakRHUG4xMXp3QWdpVmFmR2g1NEdXV1Mvd05SVEE1Z2JhTmRIYVorbmRldnVCdkx4THBnaHhIb2FtdDRhQVZvVHhtQVZGcVoxRFdhZ2xZbUU5MEJqNkxsR2VDYTYxTzJxZnVSMlhNUXEwZ0xBUnJrWUxMSUtYU2YwcHBZK3RuVzVjL3ZHeUdPU3VaYTJtWXkzZFdiVTlsdStxR21lVldtKzRzK2FjWEFMWHIyZ1FORm44eEN1bXBkYlNsUXhZSEhUVG50YzFIbEs2cDU2ZkJmUlJZV1YwOUsyME9EaHBJM1ZQU0pxZS8xWks3SHhiU0hvYks5ajh5aE14dHloa21OQjdjYnhUYldWN1JJYzdnWnRZUnJTaVJuTk9yVklyOEVhV1FZQkttWWU4VEdLdUc1MzdvZThYTGs4VnRVditaSU1iOEI1Y0k2RlIrM29zR0x6R1ZZa0toaVBZcEJXNU1DZkxhb3lENnIyeTRnVWVMSGRCbEovT3h2RVQ3akc2eHhuR1dBL2ltMk1lNVIzUDljOFphakJnc3RrZHpFMFd0eTBnNDZDTkNRTVlDMmgyR0JwUnJXSVpTTTIxWnFnRlc5WnJBQUN4T0dNWU1GWTFYMW5iMlZlSnNicUNvd0hQSkJIWnVLbHkvRkYyMjNDMlAvYWZaUUVINzB2UGNvbDdObThxZ2FBQVV0MHlUWXhhRlUvc2ZWUWs1cUQwU1Vjbm1EUW5RQkJRdTJyaFFCZktRclMzVlB0Ym94eDl4cGJTcmVidGRWckxLekNsWTU4NTRoc1VlZ0ZUN0NXbGFROWgzSi9Ea093TnBvdVVMR3AzZytKaW9CRXVXeTkwZHlwYTRCb3ErK294c01rcS94MFVTa3pLeFQ2WEwvY3E2M25HK3RvZEdmSHNhOFlOcE10MXN0R0xadW45RTV0TEwvaDRWdDJ2eVpsV0w4ZTViOVR0UkJLMk9lM2c0RVA0KzBMSWpRYlhBNFBtSGRiWnhxRTV1RmpGUDFWZzNoQWlHMHI1bmMvM2xBMFZUcUJTZ0xlWGhuQ1Z4RlB2WVZPY0xQN3UyU0NjQWtzaUF0bk5URFhMSVlmL0trZzBWeHpQa29nMzhVVnJVSFlXdzZ4RExmWWtKRTNaVndKeGtzVDNyQmRvdlZVU3hxMUgzUzl2dmd5SmlrU28wWlBTUklYWVdkK29MZlhCYWQ2bzdpSUZvUHlsZ0RMZDZBUzJRZVJSc0lwSExyRWRCeU9pYWdrUVpOTnpueFNHeGgxYWlRd1JZTmpPV0RBMkdnSWt2dCt3R2tvN3ZMVTFsMHlSRmNTeGtmWmxmL2g3VGUxZDlvN3YzRWlMajBvczErTUduYWVYWHloSlNJdjhjblJpdklUZGlrOEQ4TjRMdURSbE1BSjRQRWZZSmMxUkFKQnlScXpWYzRyczYvWXdqUkkzenhhbXVpamZjOHpUSmgwUk54YUt2SklTUFIwM2Z4dy8yNUxlM1M2dFhCMEl6RUtTMXo2bmtBbkYzeWFrWUlCMXFLbHRZZUI2UExobXN4elIxb1I4dnd4Y054MWhsc1hucDhDWThUN08yTm00In0%3D&from=searchresults,"Elegant Accommodation: Damara Village Ubud by Alaya Private Estate in Ubud offers a villa with a garden and terrace. Guests enjoy free WiFi, air-conditioning, and a private pool with a view. Comfortable Amenities: The property features a fully equipped kitchen, private bathroom, and dining area. Additional amenities include a balcony, terrace, and free toiletries. Convenient Services: Private check-in and check-out, a paid airport shuttle, concierge, and housekeeping services are available. Free on-site private parking and full-day security enhance the stay. Local Attractions: Located 35 km from Ngurah Rai International Airport, the villa is near Neka Art Museum (2.7 km), Blanco Museum (4.2 km), and Ubud Palace (5 km). Rafting is available in the surroundings. Highly rated for family-friendliness and excellent service.",9.0,67.0,4.0
3,Grandmas Plus Hotel Seminyak,"Dyanapura, Seminyak (Dyanapura)",611983,https://www.booking.com/hotel/id/grandmas.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGiIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsPk9cQGwAIB0gIkZjAzODQyMmMtYTE1Zi00MDJiLTk4YTQtZGMyYjkyNmRjZmE32AIB4AIB&sid=ac81507b73df4bb67ba0d6a194114c67&aid=304142&ucfs=1&arphpl=1&checkin=2025-08-30&checkout=2025-08-31&dest_id=835&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D213&srpvid=ab302af6159c052e&srepoch=1755151802&all_sr_blocks=31791701_0_1_0_0&highlighted_blocks=31791701_0_1_0_0&matching_block_id=31791701_0_1_0_0&sr_pri_blocks=31791701_0_1_0_0__61198335&from=searchresults,"Just a 2-minute walk from Seminyak Beach, Grandmas Seminyak Hotel offers modern rooms equipped with free WiFi access and flat-screen cable TVs. Grandmas Seminyak Hotel is nestled amidst the bustling shops, restaurants, and nightlife of Seminyak. It's a mere 25-minute drive from Ngurah Rai International Airport. With minimalist interiors, our air-conditioned rooms are furnished with crisp linen and include a safe for your valuables. The private bathrooms are equipped with heated showers and are stocked with complimentary toiletries and towels. Our dedicated staff is at your service with a 24-hour reception, ensuring round-the-clock security. Guests can indulge in unique cultural experiences, such as joining our canang sari class, tridatu bracelet-making class, farmer hat crafting class, and the traditional jamu-making class. At our Dua Sisi Restaurant, guests can relish evening entertainment, featuring live music from 6:00 PM to 11:00 PM, ensuring a memorable dining experience. Show me more",8.3,6580.0,3.0
4,ValStar Hotel Canggu,"Babakan, Canggu (Babakan)",846450,https://www.booking.com/hotel/id/valstar-canggu.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGiIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsPk9cQGwAIB0gIkZjAzODQyMmMtYTE1Zi00MDJiLTk4YTQtZGMyYjkyNmRjZmE32AIB4AIB&sid=ac81507b73df4bb67ba0d6a194114c67&aid=304142&ucfs=1&arphpl=1&checkin=2025-08-30&checkout=2025-08-31&dest_id=835&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D213&srpvid=ab302af6159c052e&srepoch=1755151802&all_sr_blocks=1158483704_406986383_1_42_0&highlighted_blocks=1158483704_406986383_1_42_0&matching_block_id=1158483704_406986383_1_42_0&sr_pri_blocks=1158483704_406986383_1_42_0__84645000&from=searchresults,"Comfortable Accommodations: ValStar Hotel Canggu in Canggu offers adults-only rooms with air-conditioning, private bathrooms, and modern amenities. Each room includes a work desk, free toiletries, and a TV. Exceptional Facilities: Guests can enjoy spa facilities, a swimming pool with a view, fitness centre, and a lush garden. Additional amenities include a terrace, balcony, and free WiFi throughout the property. Dining Experience: The hotel features a family-friendly restaurant serving brunch, lunch, and dinner with local specialities, fresh pastries, and a variety of beverages. Breakfast options include continental, American, and vegetarian. Prime Location: Located 16 km from Ngurah Rai International Airport, the hotel is near attractions such as Petitenget Temple (8 km) and Tanah Lot Temple (9 km). Surfing opportunities enhance the surrounding area. Solo travellers particularly like the location — they rated it 8.5 for a one-person stay.",8.7,639.0,4.0
5,Amnaya Resort Nusa Dua,Nusa Dua,2323789,https://www.booking.com/hotel/id/amnaya-resort-nusa-dua.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGiIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsPk9cQGwAIB0gIkZjAzODQyMmMtYTE1Zi00MDJiLTk4YTQtZGMyYjkyNmRjZmE32AIB4AIB&sid=ac81507b73df4bb67ba0d6a194114c67&aid=304142&ucfs=1&arphpl=1&checkin=2025-08-30&checkout=2025-08-31&dest_id=835&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D213&srpvid=ab302af6159c052e&srepoch=1755151802&all_sr_blocks=791530803_406173869_0_1_0_428580&highlighted_blocks=791530803_406173869_0_1_0_428580&matching_block_id=791530803_406173869_0_1_0_428580&sr_pri_blocks=791530803_406173869_0_1_0_428580_232378900&from=searchresults,"Comfortable Accommodations: Amnaya Resort Nusa Dua in Nusa Dua offers family rooms with air-conditioning, private bathrooms, and garden views. Each room includes a balcony, terrace, and modern amenities. Exceptional Facilities: Guests enjoy a sun terrace, lush garden, and a year-round outdoor swimming pool. The resort features a fitness room, beauty services, and a spa. Free WiFi is available throughout the property. Dining Experience: The traditional restaurant serves Indonesian cuisine with vegetarian options. Breakfast is available à la carte, and lunch and dinner are served in a relaxed setting. Prime Location: Located 11 km from Ngurah Rai International Airport, the resort is a 17-minute walk from Tanjung Benoa. Nearby attractions include Bali Nusa Dua Convention Centre and Bali International Convention Centre. Scuba diving is available in the surroundings. Solo travellers particularly like the location — they rated it 8.6 for a one-person stay. Show me more",9.3,3825.0,4.0
6,The Meru Sanur,Sanur,5730846,https://www.booking.com/hotel/id/the-meru-sanur.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGiIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsPk9cQGwAIB0gIkZjAzODQyMmMtYTE1Zi00MDJiLTk4YTQtZGMyYjkyNmRjZmE32AIB4AIB&sid=ac81507b73df4bb67ba0d6a194114c67&aid=304142&ucfs=1&arphpl=1&checkin=2025-08-30&checkout=2025-08-31&dest_id=835&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D213&srpvid=ab302af6159c052e&srepoch=1755151802&all_sr_blocks=234760923_0_1_1_0&highlighted_blocks=234760923_0_1_1_0&matching_block_id=234760923_0_1_1_0&sr_pri_blocks=234760923_0_1_1_0__573084596&from=searchresults,"Get the celebrity treatment with world-class service at The Meru Sanur Located on the shore of Sanur Beach, just a 5-minute walk from Le Mayeur Museum, The Meru Sanur offers an accommodation with an outdoor pool and a spa centre. The beachfront property provides guests with a 24-hour front desk and free WiFi access. All guest rooms features air conditioning, a flat-screen TV with satellite channels and an electric kettle. Each room has a balcony or a terrace overlooking the garden and a private bathroom with a shower. Activities at The Meru Sanur include Yoga and bicycle. A continental breakfast is served each morning at the property. The on-site Arunika Restaurant offers a selection of international dishes. MakBeng's Warung is 900 from the accommodation, while Jazz Grill & Pub is 1.1 km from the property. It is 7 km from Serangan Turtle Island and 13 km from Ngurah Rai International Airport. The The Meru Sanur property is very close from Sanur ferry port that connects to Nusa Penida, where Nusa Penida is one of the best destination in Bali. We do have a convention with a hall of 3750 square meters that fit for 3500 pax. Also we have Bali Beach Hotel, a luxury hotel with 273 rooms that results in us to have 457 rooms in total. Show me more",9.0,123.0,5.0
7,Mamora Ubud Villas,Ubud,735080,https://www.booking.com/hotel/id/mamora-ubud-villas.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGiIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsPk9cQGwAIB0gIkZjAzODQyMmMtYTE1Zi00MDJiLTk4YTQtZGMyYjkyNmRjZmE32AIB4AIB&sid=ac81507b73df4bb67ba0d6a194114c67&aid=304142&ucfs=1&arphpl=1&checkin=2025-08-30&checkout=2025-08-31&dest_id=835&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D213&srpvid=ab302af6159c052e&srepoch=1755151802&all_sr_blocks=1260888204_398813054_0_0_0_1111052&highlighted_blocks=1260888204_398813054_0_0_0_1111052&matching_block_id=1260888204_398813054_0_0_0_1111052&sr_pri_blocks=1260888204_398813054_0_0_0_1111052_73508000&from=searchresults,"Reliable info:Guests say the description and photos for this property are very accurate. Comfortable Accommodation: Mamora Ubud Villas in Ubud offers spacious family rooms with private balconies. Each room features air-conditioning, a private bathroom, and modern amenities. Exceptional Facilities: Guests enjoy a terrace, free WiFi, and a swimming pool with a view. Additional facilities include a 24-hour front desk, concierge service, and free on-site private parking. Delicious Breakfast: A variety of breakfast options are available, including continental, American, vegetarian, and halal. Fresh fruits, pancakes, and cheese enhance the morning experience. Prime Location: Located 38 km from Ngurah Rai International Airport, the villa is near attractions such as Ubud Palace (3 km) and Monkey Forest Ubud (5 km). Guests appreciate the room cleanliness and excellent service.",8.5,129.0,3.0
8,Sumitra Luxury Villas & Resort by Pramana,Sanur,3901698,https://www.booking.com/hotel/id/sumitra-and-resort-a-pramana-experience.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGiIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsPk9cQGwAIB0gIkZjAzODQyMmMtYTE1Zi00MDJiLTk4YTQtZGMyYjkyNmRjZmE32AIB4AIB&sid=ac81507b73df4bb67ba0d6a194114c67&aid=304142&ucfs=1&arphpl=1&checkin=2025-08-30&checkout=2025-08-31&dest_id=835&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D213&srpvid=ab302af6159c052e&srepoch=1755151802&all_sr_blocks=0_0_1_0_0&highlighted_blocks=0_0_1_0_0&matching_block_id=0_0_1_0_0&sr_pri_blocks=0_0_1_0_0__390169751&from=searchresults,"Experience world-class service at Sumitra Luxury Villas & Resort by Pramana Beachfront Location: Sumitra Luxury Villas & Resort by Pramana in Sanur offers direct beachfront access with stunning sea views. Guests can relax by the swimming pool with a view or enjoy the indoor pool. The resort features a lush garden, terrace, and picnic area. Comfortable Accommodations: Rooms include air-conditioning, balconies, private bathrooms, and modern amenities. Additional features are bathrobes, free WiFi, and soundproofing. Family rooms and garden views enhance the stay. Dining Experience: The family-friendly restaurant serves Indonesian, American, and Italian cuisines. Breakfast options include continental, American, and Asian. Dining areas include a modern and romantic ambience. Leisure Activities: Guests can enjoy cycling, scuba diving, and water sports. The resort provides free on-site private parking, a tour desk, and a 24-hour front desk. Ngurah Rai International Airport is 13 km away. Solo travellers particularly like the location — they rated it 8.5 for a one-person stay.",9.3,143.0,5.0
9,SenS Hotel and Spa,Ubud,1029024,https://www.booking.com/hotel/id/sens-and-spa-conference-ubud-town-centre.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGiIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsPk9cQGwAIB0gIkZjAzODQyMmMtYTE1Zi00MDJiLTk4YTQtZGMyYjkyNmRjZmE32AIB4AIB&sid=ac81507b73df4bb67ba0d6a194114c67&aid=304142&ucfs=1&arphpl=1&checkin=2025-08-30&checkout=2025-08-31&dest_id=835&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D213&srpvid=ab302af6159c052e&srepoch=1755151802&all_sr_blocks=133612208_100043180_2_2_0&highlighted_blocks=133612208_100043180_2_2_0&matching_block_id=133612208_100043180_2_2_0&sr_pri_blocks=133612208_100043180_2_2_0__102902400&from=searchresults,"Situated just 850 metres from Ubud Market and Ubud Royal Palace, SenS Hotel and Spa offers a modern accommodation featuring an outdoor swimming pool, free WiFi access in all areas and free on-site private parking for guests who drive. Each room at SenS Hotel and Spa is fitted with air-conditioning, a flat-screen cable TV, a personal safe, a minibar and an electric kettle. It also comes with a seating area and an en suite bathroom. A hairdryer, towels and free toiletries are also provided. Guests staying at this property will find a 24-hour front desk where the staff can offer assistance to arrange airport transfers, shuttle service, laundry requests as well as relaxing massages at the on-site spa and wellness centre at additional charges. Meeting/banquet facility is also available at a surcharge. Daily housekeeping and access to the fitness centre are offered for free. The on-site Yonne Cafe and Bar offers a convenient dining option serving continental dishes for breakfast, lunch and dinner. Alternatively guests can explore the surrounding area where various dining option can be found just a 5-minute walk away. Ubud's Sacred Monkey Forest is 2.2 km away while the Goa Gajah historical site is 4.2 km away. Ngurah Rai International Airport is 38 km from SenS Hotel and Spa. Show me more",8.4,1089.0,4.0
10,Om Ham Retreat and Resort,Ubud,879028,https://www.booking.com/hotel/id/om-ham-retreat-ubud.en-gb.html?label=gen173nr-10CAEoggI46AdIM1gEaGiIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsPk9cQGwAIB0gIkZjAzODQyMmMtYTE1Zi00MDJiLTk4YTQtZGMyYjkyNmRjZmE32AIB4AIB&sid=ac81507b73df4bb67ba0d6a194114c67&aid=304142&ucfs=1&arphpl=1&checkin=2025-08-30&checkout=2025-08-31&dest_id=835&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D213&srpvid=ab302af6159c052e&srepoch=1755151802&all_sr_blocks=118996403_0_1_1_0&highlighted_blocks=118996403_0_1_1_0&matching_block_id=118996403_0_1_1_0&sr_pri_blocks=118996403_0_1_1_0__87902769&from=searchresults,"Strategically located just a 10-minute from Ubud Market and Ubud Royal Palace, Om Ham Retreat and Resort offers an outdoor swimming pool, free WiFi access in all areas of the property and free on-site private parking for guests who drive. Guests can enjoy free scheduled shuttle service to Ubud Centre. It takes a 15-minute drive from Ubud's Sacred Monkey Forest, and the beautiful Gunung Kawi Temple is reachable within a 25-minute drive. Getting to Bali Denpasar International AIrport will take around 1.5 hours by car. Airport shuttle service can be arranged at an additional charge. Rooms at Om Ham Retreat and Resort are all air-conditioned and furnished with a flat-screen satellite TV, a minibar, personal safe, and electric kettle. Each one comes with a seating area and an en suite bathroom featuring shower or bath facility as well as free toiletries, bathrobes, and slippers. All room have flat-screen TV and guests can enjoy a garden view from the room. The staff at the 24-hour front desk can assist guests with laundry and dry cleaning services, arranging treatments at spa and wellness centre, car hire and BBQ facility at additional fees. There is also a tour desk with ticket service and currency exchange service that can help guests book their travels as well as organise activities like cycling or hiking. Other free activities include a yoga lesson. As for dining option, Om Ham Retreat and Resort offers its on-site restaurant which opens for breakfast, lunch, and dinner, serving fresh Indonesian, seafood and western fusion menu. Guests can also opt to explore the surrounding area where Ubud's culinary spot can be found just a 10-minute drive away. Solo travellers particularly like the location — they rated it 8.6 for a one-person stay. Show me more",8.7,1323.0,4.0
